,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster_length0,cluster_length1,cluster_length2,cluster_length3,cluster_length4,cluster_length5,cluster_length6,cluster_length7,cluster_length8,cluster_length9
126,4.1118,4.1878,4.1518,4.1046,4.1649,4.1198,4.1118,4.1938,4.1273,4.1439,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
127,4.1118,4.1898,4.1518,4.1046,4.1669,4.1215,4.1118,4.1965,4.1284,4.1439,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
128,4.1118,4.1911,4.1537,4.1046,4.1688,4.1221,4.1124,4.1965,4.1284,4.1457,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
129,4.1118,4.1911,4.1537,4.1046,4.1713,4.1221,4.1135,4.2027,4.1284,4.1457,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
130,4.1163,4.1918,4.1543,4.1062,4.1733,4.1232,4.1135,4.2027,4.1308,4.1494,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
131,4.1163,4.1925,4.1543,4.1079,4.1759,4.1232,4.1169,4.2055,4.1337,4.1494,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
132,4.1169,4.1938,4.1543,4.1079,4.1818,4.1238,4.118,4.209,4.1373,4.1494,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
133,4.118,4.1945,4.1543,4.1107,4.1818,4.1249,4.1186,4.2097,4.1421,4.1494,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
134,4.1198,4.2013,4.1555,4.1107,4.1838,4.1267,4.1186,4.2125,4.1433,4.15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
135,4.1198,4.2034,4.1555,4.1118,4.1851,4.1273,4.1198,4.2175,4.1433,4.1561,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
136,4.1198,4.2055,4.1593,4.1118,4.1858,4.1284,4.1198,4.2269,4.1433,4.1599,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
137,4.1215,4.2062,4.1599,4.1141,4.1858,4.129,4.1198,4.2269,4.1469,4.1637,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
138,4.1215,4.2062,4.1605,4.1141,4.1891,4.1337,4.1215,4.2284,4.15,4.1649,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
139,4.1215,4.2062,4.1605,4.1141,4.1925,4.1337,4.1238,4.2336,4.1512,4.1662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
140,4.1215,4.2062,4.1618,4.1163,4.1925,4.1373,4.1238,4.2358,4.1518,4.1669,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
141,4.1215,4.2062,4.1624,4.1203,4.2,4.1379,4.1249,4.2366,4.1518,4.1694,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
142,4.1215,4.2069,4.1649,4.1221,4.2013,4.1391,4.1249,4.2373,4.1537,4.1733,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
143,4.1215,4.2154,4.1669,4.1232,4.2013,4.1397,4.1273,4.2381,4.1561,4.1733,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
144,4.1215,4.2161,4.1688,4.1249,4.2027,4.1409,4.1284,4.2403,4.1574,4.1733,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
145,4.1215,4.2197,4.1688,4.129,4.2034,4.1409,4.129,4.2434,4.158,4.1759,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
146,4.1215,4.2233,4.1713,4.129,4.2034,4.1409,4.129,4.2434,4.1593,4.1778,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
147,4.1215,4.224,4.1733,4.129,4.2034,4.1409,4.129,4.2449,4.1599,4.1785,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
148,4.1215,4.2269,4.1733,4.129,4.2069,4.1415,4.1308,4.248,4.1605,4.1785,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
149,4.1215,4.2277,4.1739,4.129,4.2118,4.1421,4.1325,4.248,4.1618,4.1838,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
150,4.1215,4.2284,4.1746,4.129,4.2168,4.1421,4.1325,4.2487,4.1624,4.1858,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
151,4.1215,4.2306,4.1759,4.129,4.2175,4.1433,4.1343,4.2503,4.1643,4.1878,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
152,4.1215,4.2321,4.1759,4.129,4.2204,4.1439,4.1355,4.2573,4.1669,4.1911,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
153,4.1255,4.2336,4.1759,4.129,4.2211,4.1475,4.1355,4.2604,4.1694,4.1911,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
154,4.1267,4.2366,4.1765,4.129,4.2211,4.1475,4.1361,4.2604,4.1694,4.1911,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
155,4.1284,4.2366,4.1778,4.129,4.2226,4.15,4.1373,4.2644,4.1694,4.1918,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
156,4.129,4.2381,4.1785,4.129,4.2233,4.15,4.1379,4.266,4.1713,4.1979,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
