,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster_length0,cluster_length1,cluster_length2,cluster_length3,cluster_length4,cluster_length5,cluster_length6,cluster_length7,cluster_length8,cluster_length9
144,3.0958,3.2277,-1,3.082,3.2749,3.0752,3.5436,3.1319,3.1675,3.0937,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
145,3.098,3.2306,-1,3.0825,3.2765,3.0752,3.5575,3.1319,3.1675,3.0937,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
146,3.1002,3.2358,-1,3.083,3.2765,3.0757,3.5638,3.1325,3.1688,3.0937,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
147,3.1002,3.2366,-1,3.083,3.2765,3.0757,3.5735,3.1349,3.1694,3.0942,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
148,3.1007,3.2366,-1,3.083,3.2765,3.0768,3.5751,3.1349,3.1694,3.0947,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
149,3.104,3.2411,-1,3.0835,3.2765,3.0773,3.585,3.1361,3.1713,3.0953,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
150,3.1046,3.2411,-1,3.0857,3.2765,3.0783,3.6162,3.1409,3.1733,3.0958,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
151,3.1051,3.2418,-1,3.0857,3.2765,3.0788,3.6216,3.1415,3.1752,3.0969,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
152,3.1051,3.2426,-1,3.0867,3.2765,3.0804,3.6308,3.1445,3.1811,3.098,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
153,3.1057,3.2441,-1,3.0872,3.2765,3.0835,3.6402,3.1457,3.1811,3.0985,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
154,3.1073,3.2472,-1,3.0872,3.2765,3.0846,3.6478,3.1457,3.1811,3.0996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
155,3.1079,3.2487,-1,3.0883,3.2765,3.0851,3.6517,3.1469,3.1838,3.0996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
156,3.1085,3.2495,-1,3.0904,3.2765,3.0862,3.6576,3.1518,3.1838,3.1018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
157,3.109,3.251,-1,3.0904,3.2765,3.0862,3.6596,3.1518,3.1838,3.1018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
158,3.1101,3.2518,-1,3.0926,3.2765,3.0867,3.6635,3.153,3.1844,3.1018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
159,3.1107,3.2518,-1,3.0926,3.2798,3.0872,3.6696,3.153,3.1858,3.1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
160,3.1135,3.2534,-1,3.0931,3.2848,3.0883,3.6799,3.1537,3.1871,3.1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
161,3.1146,3.2549,-1,3.0947,3.2848,3.0888,3.6819,3.1537,3.1898,3.104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
162,3.1152,3.2604,-1,3.0947,3.2857,3.0888,3.6861,3.1537,3.1904,3.1046,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
